2022-04-01 05:05:01.633 ERROR [queue-executor-handler-4][?:?]:[online#12711120_80064|PUNCMH|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":4}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":4429}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648760701509}},\"lastRefreshTime\":1648760701506},\"del\":{}}","rid":"online#12711120_80064","requestJson":{"index":1,"type":1}}
2022-04-01 05:09:32.179 ERROR [queue-executor-handler-6][?:?]:[online#22158474_80499|蕾姆酱|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":4}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":2671}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648760972171}},\"lastRefreshTime\":1648760972169},\"del\":{}}","rid":"online#22158474_80499","requestJson":{"index":1,"type":1}}
2022-04-01 05:10:16.161 ERROR [queue-executor-handler-14][?:?]:[online#12797846_40165|不要怕勇敢向前|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":15300}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":4}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":394}}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761016153}},\"lastRefreshTime\":1648761016151},\"del\":{}}","rid":"online#12797846_40165","requestJson":{"index":1,"type":1}}
2022-04-01 05:10:20.112 ERROR [queue-executor-handler-14][?:?]:[online#12797846_40165|不要怕勇敢向前|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":15000}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":5}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":398}}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761020105}},\"lastRefreshTime\":1648761020103},\"del\":{}}","rid":"online#12797846_40165","requestJson":{"index":1,"type":1}}
2022-04-01 05:13:19.339 ERROR [queue-executor-handler-10][?:?]:[online#15296737_80276|恩恩啵啵泥丶|65024]{"opCode":65024,"diff":"{\"d\":{\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":5702}}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":6}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":13448}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761199335}},\"lastRefreshTime\":1648761199333},\"del\":{}}","rid":"online#15296737_80276","requestJson":{"index":1,"type":1}}
2022-04-01 05:14:46.754 ERROR [queue-executor-handler-16][?:?]:[online#23203426_40391|华丽金属|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":2}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":191}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1385}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761286745}},\"lastRefreshTime\":1648761286743},\"del\":{}}","rid":"online#23203426_40391","requestJson":{"index":1,"type":1}}
2022-04-01 05:14:49.693 ERROR [queue-executor-handler-16][?:?]:[online#23203426_40391|华丽金属|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":3}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":194}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1085}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761289684}},\"lastRefreshTime\":1648761289681},\"del\":{}}","rid":"online#23203426_40391","requestJson":{"index":1,"type":1}}
2022-04-01 05:14:50.094 ERROR [queue-executor-handler-16][?:?]:[online#23203426_40391|华丽金属|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":4}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":785}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761290077}},\"lastRefreshTime\":1648761290075},\"del\":{}}","rid":"online#23203426_40391","requestJson":{"index":1,"type":1}}
2022-04-01 05:14:52.019 ERROR [queue-executor-handler-16][?:?]:[online#23203426_40391|华丽金属|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":5}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":196}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":485}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761292010}},\"lastRefreshTime\":1648761292007},\"del\":{}}","rid":"online#23203426_40391","requestJson":{"index":1,"type":1}}
2022-04-01 05:14:53.584 ERROR [queue-executor-handler-16][?:?]:[online#23203426_40391|华丽金属|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":6}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":197}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":185}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761293576}},\"lastRefreshTime\":1648761293573},\"del\":{}}","rid":"online#23203426_40391","requestJson":{"index":1,"type":1}}
2022-04-01 05:17:38.704 ERROR [queue-executor-handler-9][?:?]:[online#13754635_80422|黑暗骑士|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":3}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":3766}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761458699}},\"lastRefreshTime\":1648761458697},\"del\":{}}","rid":"online#13754635_80422","requestJson":{"index":1,"type":1}}
2022-04-01 05:18:07.609 ERROR [queue-executor-handler-2][?:?]:[online#7137266_80514|彩美旬果|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1055}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":5}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":920}}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761487603}},\"lastRefreshTime\":1648761487601},\"del\":{}}","rid":"online#7137266_80514","requestJson":{"index":1,"type":1}}
2022-04-01 05:21:01.916 ERROR [queue-executor-handler-15][?:?]:[online#22572722_80510|摆烂的矿工|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":5}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":603}}},\"saitama\":{\"taskGroup\":{\"readyTaskType\":{\"1\":1648712026936,\"2\":1648719226936,\"4\":1648708426936,\"5\":1648740826936}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761661911}},\"lastRefreshTime\":1648761661909},\"del\":{}}","rid":"online#22572722_80510","requestJson":{"index":1,"type":1}}
2022-04-01 05:21:02.577 ERROR [queue-executor-handler-15][?:?]:[online#22572722_80510|摆烂的矿工|65024]{"opCode":65024,"diff":"{\"d\":{\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":1376}}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":6}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":303}}},\"saitama\":{\"taskGroup\":{\"readyTaskType\":{\"1\":1648712026936,\"2\":1648719226936,\"4\":1648708426936,\"5\":1648740826936}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761662572}},\"lastRefreshTime\":1648761662570},\"del\":{}}","rid":"online#22572722_80510","requestJson":{"index":1,"type":1}}
